KITS;NANA PT;NANA ND;LARISSA;GRUVYER TERRA COTA;BOSSA NOVA;CHIFRE PT;CHIFRE ND;ALLEGRA ND;ALLEGRA AMARELA;ALLEGRA VERMELHA;EMBALAGEM
1;R$ 50,00;R$ 70,00;R$ 72,00;R$ 68,00;R$ 75,00;R$ 45,00;R$ 55,00;R$ 70,00;R$ 74,00;R$ 74,00;R$ 2,00
2;R$ 100,00;R$ 140,00;R$ 144,00;R$ 136,00;R$ 150,00;R$ 90,00;R$ 110,00;R$ 140,00;R$ 148,00;R$ 148,00;R$ 4,00
3;R$ 150,00;R$ 210,00;R$ 216,00;R$ 204,00;R$ 225,00;R$ 135,00;R$ 165,00;R$ 210,00;R$ 222,00;R$ 222,00;R$ 6,00
4;R$ 200,00;R$ 280,00;R$ 288,00;R$ 272,00;R$ 300,00;R$ 180,00;R$ 220,00;R$ 280,00;R$ 296,00;R$ 296,00;R$ 8,00
5;R$ 250,00;R$ 350,00;R$ 360,00;R$ 340,00;R$ 375,00;R$ 225,00;R$ 275,00;R$ 350,00;R$ 370,00;R$ 370,00;R$ 23,41
6;R$ 300,00;R$ 420,00;R$ 432,00;R$ 408,00;R$ 450,00;R$ 270,00;R$ 330,00;R$ 420,00;R$ 444,00;R$ 444,00;R$ 23,41
7;R$ 350,00;R$ 490,00;R$ 504,00;R$ 476,00;R$ 525,00;R$ 315,00;R$ 385,00;R$ 490,00;R$ 518,00;R$ 518,00;R$ 34,36
8;R$ 400,00;R$ 560,00;R$ 576,00;R$ 544,00;R$ 600,00;R$ 360,00;R$ 440,00;R$ 560,00;R$ 592,00;R$ 592,00;R$ 34,36
9;R$ 450,00;R$ 630,00;R$ 648,00;R$ 612,00;R$ 675,00;R$ 405,00;R$ 495,00;R$ 630,00;R$ 666,00;R$ 666,00;R$ 34,36
10;R$ 500,00;R$ 700,00;R$ 720,00;R$ 680,00;R$ 750,00;R$ 450,00;R$ 550,00;R$ 700,00;R$ 740,00;R$ 740,00;R$ 34,36
11;R$ 550,00;R$ 770,00;R$ 792,00;R$ 748,00;R$ 825,00;R$ 495,00;R$ 605,00;R$ 770,00;R$ 814,00;R$ 814,00;R$ 34,36
12;R$ 600,00;R$ 840,00;R$ 864,00;R$ 816,00;R$ 900,00;R$ 540,00;R$ 660,00;R$ 840,00;R$ 888,00;R$ 888,00;R$ 34,36
