vendas;;;;Anuncios;;Envios;
Numero da Venda;Data da Venda;Estado Atual;Quantidade por SKU;SKU;Loja Oficial;Data a Caminho;Data de Entrega
2000011256981413;27 de janeiro de 2026 23:56 hs.;Pronto para coleta;1;1-CREATINA-300G;Dom Stark; ; 
2000011256633541;27 de janeiro de 2026 23:29 hs.;Para entregar na coleta do dia 6 de fevereiro;2;1-ALLEGRA-PT;Dom Stark; ; 
2000014894901948;27 de janeiro de 2026 23:16 hs.;Para entregar na coleta do dia 30 de janeiro;1;1-ALLEGRA-PT;Dom Stark; ; 
2000011256334383;27 de janeiro de 2026 23:10 hs.;Para entregar na coleta do dia 2 de fevereiro;2;1-ALLEGRA-PT;Dom Stark; ; 
2000011256240363;27 de janeiro de 2026 23:07 hs.;Para entregar na coleta do dia 30 de janeiro;1;1-ALLEGRA-PT;Dom Stark; ; 
2000011256041307;27 de janeiro de 2026 22:55 hs.;Para entregar na coleta do dia 3 de fevereiro;1;1-ALLEGRA-PT;Dom Stark; ; 
2000011255974287;27 de janeiro de 2026 22:52 hs.;Pronto para coleta;1;2-GRUVYER-PT;Dom Stark; ; 
2000014894052342;27 de janeiro de 2026 22:11 hs.;Para entregar na coleta do dia 3 de fevereiro;1;4-ALLEGRA-PT;Dom Stark; ; 
2000014893923754;27 de janeiro de 2026 22:06 hs.;Para entregar na coleta do dia 4 de fevereiro;1;4-ALLEGRA-ND;Dom Stark; ; 
2000011254894569;27 de janeiro de 2026 21:48 hs.;Para entregar na coleta do dia 2 de fevereiro;1;4-ALLEGRA-PT;Dom Stark; ; 
2000011254549473;27 de janeiro de 2026 21:29 hs.;Pronto para coleta;8;1-ALLEGRA-PT;Dom Stark; ; 
2000011254205785;27 de janeiro de 2026 21:10 hs.;Para entregar na coleta do dia 3 de fevereiro;1;1-CREATINA-300G;Dom Stark; ; 
2000011247969445;27 de janeiro de 2026 20:42 hs.;Para entregar na coleta do dia 30 de janeiro;1;1-CREATINA-300G;Dom Stark; ; 
2000011253371939;27 de janeiro de 2026 20:23 hs.;Pronto para coleta;1;2-ALLEGRA-PT;Dom Stark; ; 
2000014892258078;27 de janeiro de 2026 20:08 hs.;Para entregar na coleta do dia 6 de fevereiro;1;1-GRUVYER-PT;Dom Stark; ; 
2000011252913971;27 de janeiro de 2026 19:58 hs.;Pronto para coleta;1;4-ALLEGRA-PT;Dom Stark; ; 
2000011252890607;27 de janeiro de 2026 19:55 hs.;Pronto para coleta;1;10-ALLEGRA-PT;Dom Stark; ; 
2000014891935190;27 de janeiro de 2026 19:48 hs.;Pronto para coleta;1;4-ALLEGRA-PT;Dom Stark; ; 
2000011252725381;27 de janeiro de 2026 19:45 hs.;Pronto para coleta;1;4-ALLEGRA-PT;Dom Stark; ; 
2000014853788736;27 de janeiro de 2026 19:21 hs.;Para entregar na coleta do dia 9 de fevereiro;1;4-ALLEGRA-PT;Dom Stark; ; 
2000011251521147;27 de janeiro de 2026 18:34 hs.;Para entregar na coleta do dia 18 de fevereiro;2;1-ALLEGRA-PT;Dom Stark; ; 
2000011251466221;27 de janeiro de 2026 18:30 hs.;Pronto para coleta;8;1-ALLEGRA-PT;Dom Stark; ; 
2000014890359668;27 de janeiro de 2026 17:55 hs.;Para entregar na coleta do dia 30 de janeiro;1;1-PASSADEIRA-001;Dom Stark; ; 
2000011250794405;27 de janeiro de 2026 17:49 hs.;Venda cancelada. Não envie.;1;1-ALLEGRA-PT;Dom Stark; ; 
2000011250499005;27 de janeiro de 2026 17:33 hs.;Pronto para coleta;1;1-CREATINA-300G;Dom Stark; ; 
2000011250467065;27 de janeiro de 2026 17:29 hs.;Para entregar na coleta do dia 30 de janeiro;1;1-CREATINA-300G;Dom Stark; ; 
2000011248994597;27 de janeiro de 2026 17:25 hs.;Para entregar na coleta do dia 3 de fevereiro;4;1-ALLEGRA-PT;Dom Stark; ; 
2000014889950832;27 de janeiro de 2026 17:24 hs.;Pronto para coleta;1;1-CREATINA-300G;Dom Stark; ; 
2000011250347413;27 de janeiro de 2026 17:24 hs.;Pronto para coleta;1;1-CREATINA-300G;Dom Stark; ; 
2000011250356707;27 de janeiro de 2026 17:23 hs.;Para entregar na coleta do dia 4 de fevereiro;1;6-ALLEGRA-PT;Dom Stark; ; 
2000014889899848;27 de janeiro de 2026 17:23 hs.;Pronto para coleta;1;4-ALLEGRA-PT;Dom Stark; ; 
2000011250354201;27 de janeiro de 2026 17:22 hs.;Pronto para coleta;3;1-CREATINA-300G;Dom Stark; ; 
2000011250274087;27 de janeiro de 2026 17:19 hs.;Pronto para coleta;1;1-CREATINA-300G;Dom Stark; ; 
2000011250285509;27 de janeiro de 2026 17:18 hs.;Para entregar na coleta do dia 3 de fevereiro;2;4-ALLEGRA-PT;Dom Stark; ; 
2000011250235991;27 de janeiro de 2026 17:15 hs.;Para entregar na coleta do dia 5 de fevereiro;6;1-ALLEGRA-PT;Dom Stark; ; 
2000011250171503;27 de janeiro de 2026 17:11 hs.;Pronto para coleta;1;4-ALLEGRA-PT;Dom Stark; ; 
2000011250082881;27 de janeiro de 2026 17:06 hs.;Para entregar na coleta do dia 30 de janeiro;1;1-CREATINA-300G;Dom Stark; ; 
2000011250056657;27 de janeiro de 2026 17:04 hs.;Pronto para coleta;1;1-CREATINA-300G;Dom Stark; ; 
2000011250015423;27 de janeiro de 2026 17:02 hs.;Pronto para coleta;1;1-CREATINA-300G;Dom Stark; ; 
2000011249962945;27 de janeiro de 2026 17:00 hs.;Pronto para coleta;1;1-CREATINA-300G;Dom Stark; ; 
2000014889477950;27 de janeiro de 2026 16:57 hs.;Pronto para coleta;1;1-CREATINA-300G;Dom Stark; ; 
2000011249922237;27 de janeiro de 2026 16:57 hs.;Para entregar na coleta do dia 30 de janeiro;1;1-CREATINA-300G;Dom Stark; ; 
2000011249941397;27 de janeiro de 2026 16:57 hs.;Para entregar na coleta do dia 30 de janeiro;1;1-CREATINA-300G;Dom Stark; ; 
2000011249810449;27 de janeiro de 2026 16:54 hs.;Pronto para coleta;1;1-CREATINA-300G;Dom Stark; ; 
2000014889479438;27 de janeiro de 2026 16:52 hs.;Pronto para coleta;1;1-CREATINA-300G;Dom Stark; ; 
2000014889514146;27 de janeiro de 2026 16:52 hs.;Pronto para coleta;1;1-CREATINA-300G;Dom Stark; ; 
2000014889463724;27 de janeiro de 2026 16:52 hs.;Para entregar na coleta do dia 3 de fevereiro;1;1-CREATINA-300G;Dom Stark; ; 
2000014889463286;27 de janeiro de 2026 16:51 hs.;Pronto para coleta;1;1-CREATINA-300G;Dom Stark; ; 
2000011249398829;27 de janeiro de 2026 16:50 hs.;Para entregar na coleta do dia 30 de janeiro;1;1-CREATINA-300G;Dom Stark; ; 
2000011249803839;27 de janeiro de 2026 16:50 hs.;Para entregar na coleta do dia 3 de fevereiro;2;1-CREATINA-300G;Dom Stark; ; 
2000011249771701;27 de janeiro de 2026 16:48 hs.;Pronto para coleta;1;1-CREATINA-300G;Dom Stark; ; 
2000011249773853;27 de janeiro de 2026 16:47 hs.;Pronto para coleta;4;1-CREATINA-300G;Dom Stark; ; 
2000011249718613;27 de janeiro de 2026 16:46 hs.;Para entregar na coleta do dia 30 de janeiro;1;1-CREATINA-300G;Dom Stark; ; 
2000011249754129;27 de janeiro de 2026 16:46 hs.;Pronto para coleta;6;1-CREATINA-300G;Dom Stark; ; 
2000011249747115;27 de janeiro de 2026 16:46 hs.;Para entregar na coleta do dia 30 de janeiro;1;1-CREATINA-300G;Dom Stark; ; 
2000011249533845;27 de janeiro de 2026 16:46 hs.;Para entregar na coleta do dia 30 de janeiro;1;1-CREATINA-300G;Dom Stark; ; 
2000011249706211;27 de janeiro de 2026 16:44 hs.;Pronto para coleta;1;1-CREATINA-300G;Dom Stark; ; 
2000011249703777;27 de janeiro de 2026 16:44 hs.;Pronto para coleta;1;4-ALLEGRA-PT;Dom Stark; ; 
2000011249654519;27 de janeiro de 2026 16:43 hs.;Para entregar na coleta do dia 30 de janeiro;1;1-CREATINA-300G;Dom Stark; ; 
2000011249664061;27 de janeiro de 2026 16:42 hs.;Pronto para coleta;1;1-CREATINA-300G;Dom Stark; ; 
2000011249674611;27 de janeiro de 2026 16:42 hs.;Para entregar na coleta do dia 30 de janeiro;1;1-CREATINA-300G;Dom Stark; ; 
2000011249645061;27 de janeiro de 2026 16:40 hs.;Pronto para coleta;1;1-CREATINA-300G;Dom Stark; ; 
2000011249619987;27 de janeiro de 2026 16:39 hs.;Para entregar na coleta do dia 30 de janeiro;1;1-CREATINA-300G;Dom Stark; ; 
2000011249595727;27 de janeiro de 2026 16:37 hs.;Pronto para coleta;1;1-CREATINA-300G;Dom Stark; ; 
2000011249502899;27 de janeiro de 2026 16:32 hs.;Pronto para coleta;1;1-CREATINA-300G;Dom Stark; ; 
2000011249481837;27 de janeiro de 2026 16:32 hs.;Pronto para coleta;4;1-CREATINA-300G;Dom Stark; ; 
2000011249480295;27 de janeiro de 2026 16:31 hs.;Para entregar na coleta do dia 2 de fevereiro;1;4-ALLEGRA-PT;Dom Stark; ; 
2000011249454833;27 de janeiro de 2026 16:29 hs.;Pronto para coleta;1;1-CREATINA-300G;Dom Stark; ; 
2000011249356593;27 de janeiro de 2026 16:23 hs.;Pronto para coleta;1;1-CREATINA-300G;Dom Stark; ; 
2000011249327991;27 de janeiro de 2026 16:22 hs.;Para entregar na coleta do dia 4 de fevereiro;1;1-CREATINA-300G;Dom Stark; ; 
2000011249316105;27 de janeiro de 2026 16:22 hs.;Para entregar na coleta do dia 30 de janeiro;1;1-CREATINA-300G;Dom Stark; ; 
2000011249329291;27 de janeiro de 2026 16:21 hs.;Para entregar na coleta do dia 30 de janeiro;1;1-CREATINA-300G;Dom Stark; ; 
2000011249276521;27 de janeiro de 2026 16:20 hs.;Para entregar na coleta do dia 30 de janeiro;1;1-CREATINA-300G;Dom Stark; ; 
2000011249289255;27 de janeiro de 2026 16:19 hs.;Pronto para coleta;1;1-CREATINA-300G;Dom Stark; ; 
2000014888965636;27 de janeiro de 2026 16:16 hs.;Pronto para coleta;1;1-CREATINA-300G;Dom Stark; ; 
2000011249225077;27 de janeiro de 2026 16:16 hs.;Para entregar na coleta do dia 30 de janeiro;1;1-CREATINA-300G;Dom Stark; ; 
2000011249218051;27 de janeiro de 2026 16:15 hs.;Para entregar na coleta do dia 30 de janeiro;1;1-CREATINA-300G;Dom Stark; ; 
2000011249149241;27 de janeiro de 2026 16:10 hs.;Pronto para coleta;1;1-CREATINA-300G;Dom Stark; ; 
2000011249131573;27 de janeiro de 2026 16:10 hs.;Para entregar na coleta do dia 30 de janeiro;1;8-ALLEGRA-PT;Dom Stark; ; 
2000011249127347;27 de janeiro de 2026 16:09 hs.;Pronto para coleta;1;1-CREATINA-300G;Dom Stark; ; 
2000011249082987;27 de janeiro de 2026 16:08 hs.;Para entregar na coleta do dia 30 de janeiro;1;1-CREATINA-300G;Dom Stark; ; 
2000011248972857;27 de janeiro de 2026 16:02 hs.;Para entregar na coleta do dia 30 de janeiro;1;1-CREATINA-300G;Dom Stark; ; 
2000011248954973;27 de janeiro de 2026 16:00 hs.;Pronto para coleta;1;1-CREATINA-300G;Dom Stark; ; 
2000011248787421;27 de janeiro de 2026 15:53 hs.;Pronto para coleta;1;1-CREATINA-300G;Dom Stark; ; 
2000011248801221;27 de janeiro de 2026 15:51 hs.;Pronto para coleta;1;4-GRUVYER-PT;Dom Stark; ; 
2000011248763729;27 de janeiro de 2026 15:49 hs.;Para entregar na coleta do dia 30 de janeiro;1;1-CREATINA-300G;Dom Stark; ; 
2000011248737735;27 de janeiro de 2026 15:47 hs.;Para entregar na coleta do dia 30 de janeiro;1;1-CREATINA-300G;Dom Stark; ; 
2000011248709861;27 de janeiro de 2026 15:46 hs.;Pronto para coleta;1;1-CREATINA-300G;Dom Stark; ; 
2000011248610845;27 de janeiro de 2026 15:41 hs.;Para entregar na coleta do dia 30 de janeiro;1;1-CREATINA-300G;Dom Stark; ; 
2000011248608847;27 de janeiro de 2026 15:41 hs.;Para entregar na coleta do dia 6 de fevereiro;1;10-ALLEGRA-PT;Dom Stark; ; 
2000011248592261;27 de janeiro de 2026 15:39 hs.;Pronto para coleta;3;1-CREATINA-300G;Dom Stark; ; 
2000011248559461;27 de janeiro de 2026 15:38 hs.;Pronto para coleta;2;1-CREATINA-300G;Dom Stark; ; 
