Data da venda;Estado;Tarifa de venda e impostos (BRL);Tarifas de envio (BRL);Custo de envio com base nas medidas e peso declarados;Custo por diferenças nas medidas e no peso do pacote;Cancelamentos e reembolsos (BRL);Total (BRL);SKU
26 de janeiro de 2026 23:11 hs.;Etiqueta pronta para imprimir;-36,78;-26,95;-26,95;;;256,07;4-ALLEGRA-PT
26 de janeiro de 2026 22:58 hs.;Para entregar na coleta do dia 2 de fevereiro;-31,66;;;;;126,32;1-ALLEGRA-PT
26 de janeiro de 2026 22:51 hs.;Etiqueta pronta para imprimir;-36,78;-26,95;-26,95;;;256,07;4-ALLEGRA-PT
26 de janeiro de 2026 22:41 hs.;Etiqueta pronta para imprimir;-36,78;-26,95;-26,95;;;256,07;4-ALLEGRA-PT
26 de janeiro de 2026 22:33 hs.;Para entregar na coleta do dia 11 de fevereiro;-63,32;;;;;252,64;1-ALLEGRA-PT
26 de janeiro de 2026 22:28 hs.;Venda cancelada. Não envie.;-11,84;-16,41;-16,41;;-74,75;0;1-ALLEGRA-PT
26 de janeiro de 2026 22:27 hs.;Para entregar na coleta do dia 4 de fevereiro;-38,64;-28,45;-28,45;;;268,91;4-ALLEGRA-PT
26 de janeiro de 2026 22:22 hs.;Etiqueta pronta para imprimir;-37,14;-28,45;-28,45;;;257,41;4-ALLEGRA-PT
26 de janeiro de 2026 22:03 hs.;Para entregar na coleta do dia 3 de fevereiro;-31,66;;;;;126,32;1-ALLEGRA-PT
26 de janeiro de 2026 21:54 hs.;Para entregar na coleta do dia 30 de janeiro;-37,14;-28,45;-28,45;;;257,41;4-ALLEGRA-PT
26 de janeiro de 2026 21:30 hs.;Para entregar na coleta de amanhã;-37,14;-36,44;-36,44;;;257,41;4-ALLEGRA-PT
26 de janeiro de 2026 21:09 hs.;Para entregar na coleta do dia 10 de fevereiro;-20,79;-22,45;-22,45;;;143,11;2-GRUVYER-PT
26 de janeiro de 2026 20:55 hs.;Para entregar na coleta de amanhã;-14,04;;;;;52,24;1-PASSADEIRA-001
26 de janeiro de 2026 20:43 hs.;Para entregar na coleta do dia 18 de fevereiro;-57,5;-44,45;-44,45;;;398,04;6-ALLEGRA-PT
26 de janeiro de 2026 20:30 hs.;Para entregar na coleta do dia 4 de fevereiro;-39,68;-26,95;-26,95;;;278,37;4-CHIFRE-PT
26 de janeiro de 2026 20:30 hs.;Para entregar na coleta do dia 29 de janeiro;-15,83;-12,99;-12,99;;;63,16;1-ALLEGRA-PT
26 de janeiro de 2026 20:25 hs.;Para entregar na coleta de amanhã;-31,66;;;;;126,32;1-ALLEGRA-PT
26 de janeiro de 2026 20:21 hs.;Para entregar na coleta do dia 29 de janeiro;-15,83;;;;;63,16;1-ALLEGRA-PT
26 de janeiro de 2026 20:17 hs.;Para entregar na coleta do dia 2 de fevereiro;-37,14;-28,45;-28,45;;;257,41;4-ALLEGRA-PT
26 de janeiro de 2026 20:10 hs.;Etiqueta pronta para imprimir;-37,14;-28,45;-28,45;;;257,41;4-ALLEGRA-PT
26 de janeiro de 2026 20:00 hs.;Etiqueta pronta para imprimir;-14,04;;;;;52,24;1-PASSADEIRA-001
26 de janeiro de 2026 19:47 hs.;Etiqueta pronta para imprimir;-37,14;-28,45;-28,45;;;257,41;4-ALLEGRA-PT
26 de janeiro de 2026 19:39 hs.;Para entregar na coleta do dia 6 de fevereiro;-36,78;-26,95;-26,95;;;256,07;4-ALLEGRA-PT
26 de janeiro de 2026 19:34 hs.;Para entregar na coleta de amanhã;-37,14;-28,45;-28,45;;;257,41;4-ALLEGRA-PT
26 de janeiro de 2026 19:21 hs.;Etiqueta pronta para imprimir;-15,83;-12,99;-12,99;;;63,16;1-ALLEGRA-PT
26 de janeiro de 2026 19:21 hs.;Etiqueta pronta para imprimir;-15,83;;;;;63,16;1-ALLEGRA-PT
26 de janeiro de 2026 18:44 hs.;Etiqueta pronta para imprimir;-20,79;-22,45;-22,45;;;143,11;2-GRUVYER-PT
26 de janeiro de 2026 18:44 hs.;Para entregar na coleta do dia 2 de fevereiro;-11,84;-16,41;-16,41;;;74,74;1-ALLEGRA-PT
26 de janeiro de 2026 18:37 hs.;Para entregar na coleta do dia 30 de janeiro;-15,83;;;;;63,16;1-ALLEGRA-PT
